customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,LTV
1700,"Ramirez, Vega and Barnes",Garcia,Diana,300-951-8295x52212,14 Oak St,Apt 35,Venice,Piedmont,00100,Italy,8874,1215.01,3802.13
3909,Mccarthy-Wilkinson,Daugherty,Justin,001-894-829-5145,407 Park Ave,Apt 15,Venice,Lombardy,80100,Italy,1985,5069.13,9953.12
9584,Nelson Inc,Fisher,Justin,8677413079,852 Palm Ave,,Dallas,TX,75201,United States,6185,4418.74,2098.1
6133,Thomas LLC,Young,Andrew,678.332.4830x467,987 Cedar Rd,,Philadelphia,PA,19101,United States,6161,1027.69,8989.05
5601,"Jones, Buckley and Brown",Douglas,Sarah,+1-392-752-7472,134 Pine Dr,,Milwaukee,WI,53201,United States,3165,7064.7,1492.02
6212,"Andrews, Harris and Stevens",Douglas,Angela,794-269-1759,134 Redwood Dr,,Jacksonville,FL,32201,United States,2967,7263.61,6540.88
4507,"Bennett, Thomas and Hall",Park,April,438.925.2791,49 Oak St,Apt 1,Amsterdam,North Holland,3011,Netherlands,3907,8340.44,1553.49
5897,"Morales, Medina and Wilson",Diaz,Christopher,001-865-447-1653x27356,439 Maple Ave,Apt 17,Turin,Lazio,20100,Italy,1578,6199.97,8465.82
8290,"Goodwin, Norris and Lopez",Patel,Keith,4704380969,296 Maple Ave,Apt 6,Seville,Catalonia,41001,Spain,2346,1585.76,4338.59
1204,Roberts-Molina,Edwards,Laura,(940)881-6889x14219,920 Oak St,Apt 11,Milan,Campania,30100,Italy,5704,9604.46,4760.79
1800,Whitaker-Martinez,Scott,Amber,(694)712-4776x565,460 Oak St,Apt 36,Milan,Piedmont,80100,Italy,5627,2961.84,6370.16
4664,Dalton-Johnson,Yang,David,472.389.0034x671,159 Willow Ln,,Memphis,TN,38101,United States,5540,5342.88,4689.48
6791,Ramirez Ltd,Kerr,Andrew,001-935-894-6744x3778,19 High St,Apt 21,Leipzig,Berlin,10115,Germany,7629,4145.02,3681.44
4500,Stevens-Gibson,Harmon,Christina,001-923-484-5584,439 Maple Ave,Apt 17,Turin,Lazio,20100,Italy,2770,4678.38,1108.73
3222,"Parks, Bowman and Compton",Moody,James,001-280-583-2934x6902,134 Pine Dr,,Milwaukee,WI,53201,United States,9854,7921.3,8888.17
9969,Mccall-Myers,Smith,Richard,(545)922-4253x1406,123 Maple St,Apt 2,New York,NY,10001,United States,7780,6006.37,1276.33
8652,Fritz-Lopez,Casey,Angela,+1-739-235-9065x407,826 Oak St,Apt 49,Toulouse,Île-de-France,13000,France,2664,4002.24,9411.36
8189,"Erickson, Burke and Garcia",Hopkins,Courtney,230-265-9065,321 Birch Blvd,,Houston,TX,77001,United States,4094,3614.0,8176.17
5545,Jones Group,Arroyo,Destiny,(894)399-9345x23556,98 Park Ave,Apt 35,Amsterdam,Gelderland,1012,Netherlands,6025,4826.06,4641.46
9444,Phillips LLC,Sullivan,Edwin,543.960.9883x0252,72 Main St,Apt 24,Utrecht,North Holland,3011,Netherlands,1609,3246.12,2012.1
2199,"Mccullough, Lowery and Franco",Brown,Christina,502-503-7230,951 Oak St,,Louisville,KY,40201,United States,5102,7021.02,8154.06
9446,Graham-Smith,Baker,Alan,(562)303-9869,134 Redwood Dr,,Jacksonville,FL,32201,United States,9740,9605.94,4793.43
1084,"Hudson, Hopkins and Sanders",Chambers,Amanda,(904)476-8817,439 Maple Ave,Apt 17,Turin,Lazio,20100,Italy,8965,9927.5,5774.14
1692,Rosales-Johnson,Finley,Craig,(840)911-9667,790 Maple Ave,Apt 34,Seville,Catalonia,41001,Spain,5798,2764.27,9419.17
3993,Chan-Roberts,Boone,Mark,+1-230-572-7404x33256,187 Park Ave,Apt 42,Munich,Saxony,80331,Germany,9657,5122.92,3482.77
9573,Randolph Ltd,Martinez,Angela,(694)924-2524x7898,72 Main St,Apt 24,Utrecht,North Holland,3011,Netherlands,5014,5738.03,5184.21
3741,George-Ryan,Miller,James,701-921-0385x51354,852 Maple Ave,,Cleveland,OH,44101,United States,2014,7791.68,8530.01
1767,"Arias, Edwards and Mitchell",Krueger,James,001-458-620-6392,654 Fir St,,Nashville,TN,37201,United States,6828,8654.78,4389.16
4569,"Love, Freeman and Branch",Lozano,Barbara,+1-687-433-4777x128,339 Oak St,Apt 40,Utrecht,Limburg,3511,Netherlands,8045,8746.49,4602.38
9195,Arroyo Ltd,Marshall,Derek,+1-984-505-3787x13437,826 Oak St,Apt 49,Toulouse,Île-de-France,13000,France,9654,1472.96,5037.91
7793,Wright-Campbell,Fitzgerald,John,938.581.5066,790 Maple Ave,Apt 34,Seville,Catalonia,41001,Spain,8639,9080.99,8938.2
2954,"Murphy, Olson and Jefferson",Burns,Adam,+1-394-648-3479x65039,321 Cypress Cir,,El Paso,TX,79901,United States,3153,5014.67,9250.99
9727,"Parker, Lane and Anderson",Bailey,Hannah,849-301-5737,793 Oak St,Apt 22,A Coruña,Madrid,08001,Spain,7412,9611.36,6412.16
8406,"Schaefer, Woods and Garcia",Gutierrez,Pamela,2948599419,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,4933,9416.8,9756.47
1570,"Wagner, Black and Valdez",Nguyen,Jerry,(298)423-7943x13950,226 Main St,Apt 1,Leipzig,Bavaria,10115,Germany,7833,3952.79,7277.13
7682,"Davenport, Gutierrez and Jones",Fry,Evan,001-317-747-1346,456 Alder Ave,,Seattle,WA,98101,United States,6305,5218.89,2469.04
6398,Carter-Wilson,Jones,Carmen,307-604-3831,543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States,2031,8730.02,1652.78
8399,Fisher Inc,Smith,Shawn,379-442-6543x443,907 Walnut St,,Fort Worth,TX,76101,United States,4357,2981.41,7108.83
5258,"Moreno, Roman and Vazquez",Evans,Courtney,(203)490-6064x478,296 Maple Ave,Apt 6,Seville,Catalonia,41001,Spain,1798,9680.16,6134.67
4646,Anderson-Diaz,Henderson,Henry,+1-546-663-5335,134 Pine Dr,,Milwaukee,WI,53201,United States,1954,8464.98,7405.04
6998,Martin Ltd,Hahn,Harry,837.690.7843x69241,460 Oak St,Apt 36,Milan,Piedmont,80100,Italy,2056,2777.23,6134.23
5337,"Osborne, Hill and Mclaughlin",Cohen,Jason,569-540-0260,456 Oak Ave,Suite 300,Los Angeles,CA,90001,United States,3079,9962.75,1617.68
7013,Mills-Sullivan,Walker,Brittany,3016605480,617 Park Ave,Apt 34,Leipzig,Hesse,04103,Germany,1027,2508.77,3693.16
5242,Wilson-Garcia,Owens,Kelly,(931)901-9212x0494,456 Alder Ave,,Seattle,WA,98101,United States,8082,7599.2,3651.97
5605,Brown-King,Wiley,Michelle,(213)519-8533x293,890 Chestnut Ave,,Fresno,CA,93701,United States,9955,9485.16,8468.43
7167,"Herman, Jackson and Wallace",Lang,Cole,903.314.2127x491,456 Alder Ave,,Seattle,WA,98101,United States,7405,2413.85,3243.73
7103,Williams-Underwood,Price,Kevin,+1-356-216-9524x847,596 Park Ave,Apt 41,Madrid,Catalonia,28001,Spain,5179,1846.56,7076.42
6541,Dickerson-Whitaker,Kennedy,Jennifer,307-313-7719x8651,679 Spruce Ln,,Santa Ana,CA,92701,United States,1522,9179.96,1743.88
4981,Watkins-Flowers,Love,David,560-777-1712,49 Oak St,Apt 1,Amsterdam,North Holland,3011,Netherlands,8894,1488.55,3002.11
5507,"Ross, Byrd and Boyd",Williamson,Matthew,001-643-475-9459x24691,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,2472,7539.42,5376.98
8503,"Warren, Castaneda and Baxter",Norris,Sara,+1-843-276-2295x17189,456 Alder Ave,,Seattle,WA,98101,United States,8903,8885.82,7901.45
6892,Scott-Gutierrez,Ramirez,Christopher,9868854648,203 Oak St,Apt 28,Munich,Hamburg,10115,Germany,5457,9379.61,5636.29
4600,Bell and Sons,Vazquez,Johnny,2292478793,907 Oak St,,Sacramento,CA,94203,United States,2659,4171.7,9757.24
1887,Smith LLC,Sanchez,Monica,+1-603-372-8821,852 Cedar Ave,,Las Vegas,NV,89101,United States,2106,4989.33,7593.28
8756,"Walker, Smith and Oliver",Harrington,Gary,+1-919-607-4725x2925,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,2258,2360.93,1440.37
1723,Garza and Sons,Williams,Daniel,942.308.8471,269 Maple Ave,Apt 21,Turin,Campania,80100,Italy,8426,3505.95,4408.11
9493,Shaffer-Tucker,Schmidt,Kristina,936-588-1551,966 Park Ave,Apt 32,Naples,Campania,30100,Italy,8846,8351.09,1792.13
9891,Weaver-Huber,Morrison,Samantha,(549)861-3727,608 Park Ave,Apt 2,Venice,Lombardy,00100,Italy,8316,4987.3,7731.91
2411,Cruz-Conway,Davis,Sophia,(363)401-7611,826 Oak St,Apt 49,Toulouse,Île-de-France,13000,France,1190,5899.4,7059.0
2357,"Riley, Daniel and Willis",Rose,Tammy,+1-765-812-4794,679 Spruce Ln,,Santa Ana,CA,92701,United States,5443,2274.06,5918.51
3524,Farrell LLC,Carter,Sandra,247-493-8851x1480,47 Main St,Apt 17,Frankfurt,Hamburg,10115,Germany,4818,9141.37,6572.85
5874,Crane-Le,Morgan,Bryan,+1-790-353-1665x8302,321 Cypress Cir,,El Paso,TX,79901,United States,7915,1668.81,8790.85
5525,"Carroll, Elliott and Juarez",Levy,Erin,001-923-734-5443,951 Hickory St,Apt 7,San Jose,CA,95101,United States,2819,5772.55,8095.83
3058,Thompson-Ponce,Alvarez,Troy,8168948950,543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States,9665,5515.98,9030.61
1758,"Garcia, Gomez and Brooks",Stewart,Cindy,+1-659-487-0007x116,789 Pine Dr,Unit 5B,Chicago,IL,60601,United States,2056,5980.12,1510.49
5116,Simmons PLC,Kelley,David,(289)366-1078,826 Oak St,Apt 49,Toulouse,Île-de-France,13000,France,2437,9323.75,1835.71
7206,"Hall, Hutchinson and Key",Jones,Eric,343.270.8005,237 Main St,Apt 35,Madrid,Valencia,15001,Spain,3695,7146.28,1605.0
4742,West-Green,Wright,Anthony,(384)772-3415x15326,14 Oak St,Apt 35,Venice,Piedmont,00100,Italy,2640,5015.08,7814.99
7621,Hood-Grant,Sanchez,Jimmy,508.959.6926x725,49 Oak St,Apt 1,Amsterdam,North Holland,3011,Netherlands,8673,6843.22,5076.74
2152,Camacho Inc,Moore,Scott,318-962-7730x92331,159 Spruce Ln,,San Antonio,TX,78201,United States,5630,5519.21,6056.49
2641,Richardson and Sons,Gordon,Brandon,964-371-1685x59133,596 Park Ave,Apt 41,Madrid,Catalonia,28001,Spain,8969,5041.21,5429.45
9978,King-Ramos,Jones,Lisa,(222)239-1760x87909,460 Oak St,Apt 36,Milan,Piedmont,80100,Italy,2698,7548.08,1045.45
3111,Choi-Bright,Kennedy,Christine,853-528-9463x765,617 Park Ave,Apt 34,Leipzig,Hesse,04103,Germany,3044,8324.57,7529.77
1157,Novak Inc,Jenkins,Nicole,(967)993-9461x570,951 Hickory St,Apt 7,San Jose,CA,95101,United States,9981,3911.59,8403.07
9410,"Williams, Orozco and Wilson",Miller,Virginia,398-873-0594x6336,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,3352,6923.15,1720.45
9503,Scott-Carter,Nguyen,Michael,3093978597,890 Poplar Ave,Suite 20,Columbus,OH,43085,United States,4240,5890.02,5824.56
6507,"Fischer, Dunn and Curtis",Jackson,Charles,394-468-8953x5536,951 Oak St,,Louisville,KY,40201,United States,3054,3491.15,6938.49
5294,"Walker, Lee and Bradshaw",Peterson,Michael,870-966-1257x4858,237 Main St,Apt 35,Madrid,Valencia,15001,Spain,8887,9699.65,2411.1
9783,Cook-Cook,Oconnor,Sherri,001-508-461-3685x60382,679 Redwood Ln,Unit 2C,Tucson,AZ,85701,United States,7059,4662.17,1383.03
2975,"Reeves, Wood and Johnson",Evans,Taylor,978.791.5993x3198,159 Willow Ln,,Memphis,TN,38101,United States,8204,2451.48,5089.69
5765,"Harris, Marquez and Harvey",Johnson,Brandon,(395)304-0022,951 Oak St,Apt 7A,Tampa,FL,33601,United States,3866,1053.63,3953.55
8300,Wilson and Sons,Hicks,Melanie,+1-947-552-5678x3818,652 High St,Apt 34,Bordeaux,Île-de-France,31000,France,9492,3753.53,7561.7
5799,Singleton-Taylor,Osborn,Kimberly,+1-856-648-8601x0565,679 Spruce Ln,,Santa Ana,CA,92701,United States,5602,1655.31,3729.04
4746,Young LLC,Hughes,Michael,001-860-872-7544x201,49 Maple Ave,Apt 31,Milan,Piedmont,10100,Italy,8441,2899.74,4512.28
7626,Hurley-Leon,Collins,John,001-243-356-2108x788,826 Oak St,Apt 49,Toulouse,Île-de-France,13000,France,8346,4712.63,2815.34
2605,Stout Inc,Shaw,Michelle,686.830.9234x7843,56 Maple Ave,Apt 27,Frankfurt,Hamburg,80331,Germany,8380,7953.88,5264.63
3477,Maldonado-Dalton,Johnson,Tiffany,+1-956-280-1507,123 Chestnut St,,Detroit,MI,48201,United States,3602,4561.73,1476.9
5261,Adams-Thompson,Fleming,Eric,001-337-543-3160x5724,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,2002,2079.34,2780.3
8890,Curtis-Dickerson,Morton,Brian,001-302-710-8008,822 Park Ave,Apt 17,Utrecht,Limburg,6211,Netherlands,6619,8904.28,4060.2
1311,Hall-Freeman,Jones,Maria,+1-708-584-3867x811,679 Dogwood Ln,,Indianapolis,IN,46201,United States,2821,4486.08,7135.32
2775,"Aguilar, Shelton and Reid",Potts,Sharon,001-687-323-8516x8124,793 Oak St,Apt 22,A Coruña,Madrid,08001,Spain,1001,6494.36,5011.23
4058,Harris-Turner,Marshall,Thomas,001-893-336-1988,890 Poplar Ave,Suite 20,Columbus,OH,43085,United States,1254,2025.05,5062.16
2214,"Bentley, Lynch and Williams",Le,Erica,+1-989-912-3800,687 High St,Apt 38,Munich,Saxony,60311,Germany,8104,3233.16,1387.54
1429,Hamilton-Hernandez,Carlson,Wayne,2118566043,134 Redwood Dr,,Jacksonville,FL,32201,United States,6083,9809.08,4776.79
5162,Roth and Sons,Smith,Andrew,001-995-615-3449x0342,159 Sycamore Ln,,Wichita,KS,67201,United States,7086,7433.98,9351.07
3895,Mckinney-Miller,Diaz,Amy,847.658.0125x23850,addressLine1,addressLine2,city,state,postalCode,country,2848,1768.81,5865.83
2273,Hines-Carpenter,Jarvis,Monica,(397)379-5573x4450,134 Pine Ave,Suite 12,Bakersfield,CA,93301,United States,3011,5632.64,2396.06
7135,Garcia Group,Nelson,Alisha,677-538-0636x20144,987 Dogwood Rd,,Minneapolis,MN,55401,United States,4177,5188.55,6760.47
1525,"Clements, Miranda and Smith",Roberts,Rhonda,608-745-6605x149,543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States,4736,5767.56,9568.8
3131,Garcia PLC,Phillips,Tiffany,290-783-3277,907 Oak St,,Sacramento,CA,94203,United States,9785,7069.79,3423.83
2663,Ward-Ball,Ortiz,Jessica,806.533.8542x2387,456 Alder Ave,,Seattle,WA,98101,United States,7765,1785.51,4588.01
1627,"Park, Rodriguez and Andrews",Gilmore,Nicole,(384)845-4188,753 Birch Cir,Suite 4,Portland,OR,97201,United States,4121,9829.13,7785.02
7808,Bullock-Wilson,Walsh,Greg,+1-361-450-4321,248 Birch Blvd,,Arlington,TX,76001,United States,9030,4184.02,4128.6
5649,"Rogers, Cook and Fletcher",Jacobs,Linda,413.902.1744x22687,511 Main St,Apt 50,Marseille,Provence-Alpes-Côte d'Azur,31000,France,7117,7125.8,7920.3
5357,"Thomas, Sandoval and Gordon",Munoz,Brian,+1-212-883-8694x0303,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,5750,7070.53,9029.13
1512,Hall Ltd,Cox,Brenda,581-497-9911,467 Spruce St,Apt 5,Albuquerque,NM,87101,United States,7684,9514.74,7658.3
2375,"Johnson, Williams and Hansen",Webb,Ethan,001-955-954-7233x526,920 Oak St,Apt 11,Milan,Campania,30100,Italy,8754,9580.1,7143.67
2935,Cain PLC,Herman,Sheri,(287)491-0221x18289,456 Alder Ave,,Seattle,WA,98101,United States,4834,6562.62,3309.5
5457,"Holder, Sims and Wilson",Dunn,Susan,001-454-262-7396x881,687 High St,Apt 38,Munich,Saxony,60311,Germany,8299,9732.0,2649.4
3886,Crawford PLC,Kim,David,(543)364-4099,262 Oak St,Apt 12,Marseille,Occitanie,31000,France,7812,2242.58,4395.68
3811,Anderson-Reese,Morgan,Manuel,887.755.5783x7847,679 Redwood Ln,Unit 2C,Tucson,AZ,85701,United States,6395,8865.87,5368.23
2078,"Mccarthy, Bass and Palmer",Gomez,Nicholas,249.300.1530x587,654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States,4861,1075.67,9406.8
8042,Clark-Floyd,Carter,Luke,526.411.6574x49693,654 Elm St,Apt 4C,Phoenix,AZ,85001,United States,4554,8909.16,9715.17
8351,Quinn-Jackson,Archer,Linda,001-733-971-5160,654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States,2035,8117.81,8939.85
2126,Wade-Walton,Howell,Christina,643.661.3361,717 Oak St,Apt 11,Hamburg,Hesse,10115,Germany,6721,9548.58,9271.62
8330,Villanueva-Robles,Taylor,Vanessa,(441)235-6422x306,123 Chestnut St,,Detroit,MI,48201,United States,9082,5917.76,5177.33
5555,"Silva, Guerra and Brooks",Peters,Kevin,299.382.2884x672,203 Oak St,Apt 28,Munich,Hamburg,10115,Germany,9532,2023.91,7020.27
8641,Berry-Sharp,Burton,Kimberly,+1-476-568-7656,110 Oak St,Apt 6,Marseille,Île-de-France,75000,France,5517,2264.86,3865.46
7040,"Mccoy, Ford and Owens",Wang,John,+1-826-692-4591x54060,237 Main St,Apt 35,Madrid,Valencia,15001,Spain,5215,2592.03,1747.2
9851,Carter LLC,Hernandez,Kevin,693.531.4961x774,852 Maple Ave,,Cleveland,OH,44101,United States,2269,1919.97,3564.8
7231,Rowe-Logan,Kelley,Allison,3515244365,652 High St,Apt 34,Bordeaux,Île-de-France,31000,France,4904,4167.66,7586.73
9388,"Castaneda, Mccoy and Lin",Navarro,Haley,(895)731-4407x952,110 Oak St,Apt 6,Marseille,Île-de-France,75000,France,7130,9153.94,4952.01
2494,Diaz-Davis,Ray,Terrance,546-488-9791x9340,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,1030,1373.6,7077.63
8737,Martin-Bradley,Adams,Johnathan,7023366224,226 Main St,Apt 1,Leipzig,Bavaria,10115,Germany,4843,9541.12,5412.38
4447,Stanton PLC,Bowen,Nathan,+1-798-858-6982x4821,951 Oak St,Apt 7A,Tampa,FL,33601,United States,7860,3369.25,7611.44
6036,Buchanan-Wagner,Jones,Russell,971-776-1305,134 Pine Dr,,Milwaukee,WI,53201,United States,9306,1728.56,4053.77
7765,Vazquez-Harvey,Peterson,Jill,+1-756-920-1874x97851,123 Chestnut St,,Detroit,MI,48201,United States,4143,3443.16,8405.73
9915,"Hamilton, Harper and Gardner",Dunn,Steven,+1-557-399-3295,600 Park Ave,Apt 2,Rotterdam,North Holland,3011,Netherlands,5867,4708.64,7523.19
2163,Ramirez Inc,Hernandez,Jason,397-686-8418x0555,395 Park Ave,Apt 43,Rome,Veneto,00100,Italy,1974,4090.84,5033.46
2793,Morris LLC,Howell,Molly,249-461-7589x851,49 Oak St,Apt 1,Amsterdam,North Holland,3011,Netherlands,9286,5710.32,3302.28
6436,Watson PLC,Harrington,James,+1-572-376-5995x96788,687 High St,Apt 38,Munich,Saxony,60311,Germany,6784,2736.14,4707.2
6155,Snyder LLC,Wright,Patricia,001-569-651-0251x2367,753 Birch Cir,Suite 4,Portland,OR,97201,United States,1705,1238.44,4477.08
5182,"Mccullough, Edwards and Rodriguez",Burgess,Dennis,779.697.6501x933,826 Oak St,Apt 49,Toulouse,Île-de-France,13000,France,7647,4853.19,5556.17
1217,"George, Richard and Carroll",Singh,Benjamin,871.377.8356,56 Maple Ave,Apt 27,Frankfurt,Hamburg,80331,Germany,2054,7562.14,5090.2
9692,Bryant-Sanders,Wilson,Lisa,593-408-9921x59821,822 Park Ave,Apt 17,Utrecht,Limburg,6211,Netherlands,5870,2939.44,2328.85
4270,Johnson-Ortiz,Dean,Mason,548.268.9448x353,407 Park Ave,Apt 15,Venice,Lombardy,80100,Italy,4641,2667.78,3016.36
8495,Contreras Group,Morales,Timothy,251-216-1301,990 Maple Ave,Apt 7,Milan,Veneto,20100,Italy,2545,7272.34,8661.19
7505,Schmidt-Howell,Wilson,Richard,445-397-9539x116,852 Cedar Ave,,Las Vegas,NV,89101,United States,3797,5509.18,6119.91
6481,Wilson-Brewer,Thomas,Rebecca,(893)206-7290x28433,321 Spruce Dr,,Omaha,NE,68101,United States,4823,7179.82,8117.03
1933,Patterson Inc,Lutz,Danielle,7316282070,907 Walnut St,,Fort Worth,TX,76101,United States,6294,1391.37,2257.23
6619,Hampton Ltd,Gonzales,Beth,736-748-6239x36697,789 Pine Cir,,Raleigh,NC,27601,United States,9521,9723.49,8642.09
8807,Wood PLC,Harvey,Daniel,999.615.4120,456 Oak Ave,Suite 300,Los Angeles,CA,90001,United States,2083,4223.32,9103.73
9894,Perez LLC,Fisher,Michelle,+1-456-906-2417x7951,822 Park Ave,Apt 17,Utrecht,Limburg,6211,Netherlands,9609,2071.9,9770.86
1032,Gilbert Ltd,Lee,Joseph,247.282.6504,717 Oak St,Apt 11,Hamburg,Hesse,10115,Germany,9298,8493.64,1750.2
