customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,LTV
5102,Craig-Turner,Allen,Gregory,001-438-222-4228x5309,2121 Young Stream Apt. 147,Suite 384,Kimberlyview,Alaska,54400,Syrian Arab Republic,2388,3405.53,6468.7
3181,"Garcia, Hobbs and Guerrero",Woods,Melissa,(418)897-8655x657,886 Payne Pine Suite 294,Apt. 799,Stacyland,Oklahoma,96056,Cameroon,5846,5396.9,1570.68
5956,Walton-Herring,Turner,Sara,(845)342-1801x156,7120 Ray Squares Apt. 845,Apt. 688,South Brandon,Maryland,77833,Saint Kitts and Nevis,5121,8269.0,5219.14
4056,"Lee, Price and Wu",Johnson,Jackson,001-746-584-2574x799,312 Samantha Mews,Suite 488,Villanuevaton,Oregon,95774,Cayman Islands,1495,1179.19,4480.54
6428,"Perez, Fields and Hardy",Cooper,Andrea,831.834.2685x79745,032 Heather Circles Suite 868,Suite 466,North Bobby,Montana,93323,Bahamas,9754,3924.84,2534.0
3119,Howard Inc,Thornton,Catherine,+1-888-964-1106,454 Brad Drive Apt. 934,Suite 805,Brittanyville,Alabama,52429,Sweden,5763,7104.86,3356.22
6501,Ryan and Sons,Lee,Brent,357.949.3416x072,033 Smith Wells Apt. 044,Apt. 735,West Sierra,North Dakota,49635,Saint Barthelemy,3776,4339.55,1466.9
5193,Davidson Ltd,Smith,Stacy,275-241-6404x615,0560 Rhonda Mill Apt. 482,Apt. 800,New Amandaborough,Idaho,91859,Croatia,1213,3137.86,5900.18
2632,West-Eaton,Perez,Robin,7783309741,3832 Allison Ridge Apt. 596,Apt. 883,Clarkbury,Montana,93114,French Guiana,1876,7384.51,8742.67
4554,Newman PLC,Hardin,Alan,+1-473-358-1794x7395,08178 Stanley Freeway,Suite 544,Villaburgh,Wisconsin,79936,French Guiana,5784,1505.96,1256.35
8204,Duffy LLC,Sosa,Darin,+1-652-411-0987,099 Wright Harbor,Apt. 425,Lake Justinborough,North Dakota,21867,Mozambique,3173,8317.11,5337.55
1288,Pacheco-Yates,Yang,Clifford,001-783-829-5743,66938 Jessica Via Apt. 358,Apt. 509,West Jeremyborough,Arkansas,47939,Tajikistan,8174,8302.22,9095.24
4164,"Barr, Cummings and Murphy",Perez,Chad,627-705-5515x425,01433 Barber Well Suite 167,Suite 925,Wardbury,Tennessee,80736,Saudi Arabia,9869,9217.11,4197.92
2056,"Horn, Avery and Moore",Marsh,Meghan,(527)828-2132x158,889 Brown Fork Suite 024,Apt. 958,Lake Erica,Pennsylvania,39834,Mali,9437,6873.08,6681.05
1336,Barker LLC,Barnes,Alexander,(305)536-5002,274 Daniel Trace Apt. 886,Apt. 411,East Jenniferborough,Texas,65442,Russian Federation,6135,5028.06,9227.91
7418,Drake-Grant,Bailey,Kathryn,982-386-7324x265,633 Marshall Heights,Suite 520,South Sherylchester,Virginia,78019,Central African Republic,3896,3175.9,8082.34
2812,"Blackwell, Brown and Rogers",Bailey,Jeffrey,001-828-603-7679x609,59457 Smith Knolls Suite 071,Suite 568,Harrisfort,Minnesota,90511,Jordan,6316,2501.65,6352.68
8998,"Leonard, Blake and Collins",Smith,Tracey,980.834.6029x03169,08119 Brittany Cliffs,Suite 383,Port Javiermouth,Washington,55610,Georgia,1743,6104.95,7239.82
3314,Pitts-Kaufman,Zhang,David,974-733-9066,444 Frederick Tunnel Suite 018,Suite 089,North Jennifermouth,Mississippi,96964,French Polynesia,3767,6032.79,6342.54
5768,Ewing Ltd,Griffin,Kristen,(898)246-5084x26900,050 Eric Branch,Suite 094,South Wayne,New Hampshire,03749,North Macedonia,7705,5149.64,1603.98
1736,Mullins Group,Watkins,Andrew,618.682.5714x41787,2168 Webster Station Apt. 267,Apt. 903,Josephchester,West Virginia,20045,Turkey,1156,6403.84,8610.16
3363,Cooper-Robinson,Carlson,Taylor,801.532.3282x78407,468 Rowland Viaduct,Suite 360,West Billyland,Arkansas,19699,Guadeloupe,3246,6453.71,3998.58
9742,Klein-Silva,Owens,Jeremiah,288.892.8643x889,35223 Coleman Ridges Suite 417,Apt. 251,Gallagherhaven,Indiana,25618,Netherlands,9136,9717.53,4527.19
7638,Oconnor-West,Morton,David,378-688-8990x4858,54393 Brown Loaf Apt. 036,Apt. 423,Joshuaburgh,Kentucky,76171,Argentina,3103,6238.81,3024.33
1643,Leblanc Ltd,Pollard,Michele,638.873.3743x69109,093 Edward Mount,Suite 118,West Theresa,New Hampshire,32904,Croatia,1034,1885.28,4527.41
9590,"Turner, Frank and Acevedo",Hernandez,Jamie,2745337871,92551 Peterson Unions,Apt. 614,Meganmouth,Nevada,90145,Kyrgyz Republic,9157,8894.41,6555.27
5579,Robles Group,Jacobson,Michael,401-773-6526x022,0678 Tammy Fork Apt. 036,Suite 186,East Billy,Delaware,63443,Kiribati,4847,4341.35,2451.04
6009,Gardner-Carter,Edwards,George,(820)391-3498x887,543 Hayes Crossroad Apt. 754,Apt. 347,Port Breannastad,Missouri,32845,North Macedonia,2834,2334.71,6174.16
6370,Nguyen-Smith,Mendoza,James,+1-968-983-0360x208,140 Hodges Burg,Suite 625,North Kelseyport,Kentucky,80448,United States of America,5937,9316.85,8451.75
7251,Matthews PLC,Brown,Jeanette,001-908-404-3413,0537 Ralph Cliff Apt. 999,Suite 494,Port Alexandraport,Alabama,89490,Algeria,8256,1053.3,3089.4
4478,"Gonzalez, Ponce and Sampson",Webb,Amy,+1-330-393-5409x52561,270 Peter Branch Suite 611,Apt. 083,West Sharonberg,South Dakota,13464,Nepal,6593,6460.2,5398.07
6146,Caldwell-Andrews,Lambert,Jose,+1-699-414-8529,3899 Jonathan Islands Apt. 518,Suite 438,Williamsfort,Kansas,42319,Luxembourg,5708,3557.33,1188.23
9094,Griffin and Sons,Morris,Theresa,596-664-8536x83123,820 Colton Centers,Apt. 582,South Bradley,Vermont,90735,Brazil,1326,7698.12,2140.39
5383,"Olson, Simmons and Gonzales",Thompson,Adam,+1-827-688-1455x257,630 Denise Shores,Apt. 943,Marietown,New York,27978,El Salvador,2439,9576.23,3143.65
3103,Mckee Group,Garcia,Douglas,(441)498-6560x63952,98627 Michelle Fall,Suite 623,Erikamouth,West Virginia,56545,Gabon,5172,2843.64,6853.42
4326,Peterson Group,Brooks,Daniel,774.773.7780x66117,273 Paul River Suite 313,Apt. 888,Barnesland,South Carolina,22352,Korea,7489,7713.46,5340.27
